prompt,gold_label,predicted,confidence,abstain,threshold
draw 1.156234 WBTC from compound on solana using WETH as collateral,borrow_asset,borrow_asset,1.0000,False,0.7
"collect incentives at sushiswap (avalanche) — now, minimize gas",claim_rewards,claim_rewards,1.0000,False,0.7
add liquidity: deposit 2624.4826 ARB to pendle (ethereum),deposit_asset,deposit_asset,1.0000,False,0.7
remove 5.7029 WETH from stargate — normal mode,withdraw_asset,withdraw_asset,0.9507,False,0.7
"top up compound with 2239.2724 LINK on avalanche — this minute, ok with higher gas",deposit_asset,deposit_asset,1.0000,False,0.7
take a loan of 3535 USDC via aave (ethereum) — safe mode,borrow_asset,borrow_asset,0.7491,False,0.7
lock 4333.2006 LINK in pendle on solana,stake_asset,stake_asset,0.9151,False,0.7
pay back 17505 USDT to aave on ethereum,repay_asset,repay_asset,1.0000,False,0.7
open debt: 18254 DAI on aave arbitrum,borrow_asset,borrow_asset,1.0000,False,0.7
claim staking rewards on aave arbitrum,claim_rewards,claim_rewards,1.0000,False,0.7
harvest yield from balancer on arbitrum,claim_rewards,claim_rewards,1.0000,False,0.7
put 2517.84 OP into rocket pool,deposit_asset,deposit_asset,1.0000,False,0.7
fund balancer with 46.3296 ETH (optimism),deposit_asset,deposit_asset,1.0000,False,0.7
pay back 22903 USDC to aave on solana — safe mode,repay_asset,repay_asset,1.0000,False,0.7
market swap 6682 DAI->ARB using sushiswap on base with slippage 1%,swap_asset,swap_asset,0.9885,False,0.7
market swap 1.327043 BTC->ETH using uniswap on solana with slippage 0.2% — high yield mode,swap_asset,swap_asset,1.0000,False,0.7
swap 17722 USDT to MATIC on sushiswap avalanche with slippage 0.5% — safe mode,swap_asset,swap_asset,1.0000,False,0.7
deposit 3200.9519 OP into balancer on optimism — immediately,deposit_asset,deposit_asset,1.0000,False,0.7
pay back 45.0458 WETH to maker on arbitrum — now,repay_asset,repay_asset,1.0000,False,0.7
claim staking rewards on rocket pool arbitrum — normal mode,claim_rewards,claim_rewards,0.9453,False,0.7
harvest yield from uniswap on base,claim_rewards,claim_rewards,0.9815,False,0.7
collect incentives at maker (avalanche),claim_rewards,claim_rewards,0.9744,False,0.7
remove 8739 USDT from pendle — use normal gas,withdraw_asset,withdraw_asset,0.9687,False,0.7
withdraw staked 3551.824 ARB from rocket pool avalanche — use fast gas,unstake_asset,unstake_asset,1.0000,False,0.7
fund lido with 20458 DAI (base),deposit_asset,deposit_asset,0.9524,False,0.7
repay 13457 DAI on maker (solana),repay_asset,repay_asset,1.0000,False,0.7
collect incentives at balancer (base),claim_rewards,claim_rewards,1.0000,False,0.7
"remove 14285 USDT from pendle — now, safe mode",withdraw_asset,withdraw_asset,0.8949,False,0.7
lock 3499.5595 LINK in pendle on arbitrum,stake_asset,stake_asset,0.9663,False,0.7
claim staking rewards on balancer solana — normal mode,claim_rewards,claim_rewards,0.9653,False,0.7
swap 21.4244 AVAX to OP on uniswap optimism,swap_asset,swap_asset,1.0000,False,0.7
unstake 725.1881 ARB from rocket pool on avalanche — immediately,unstake_asset,unstake_asset,1.0000,False,0.7
supply 7.8146 WETH to stargate,deposit_asset,deposit_asset,1.0000,False,0.7
trade 42.474 ETH for USDT on curve (solana) with slippage 0.2%,swap_asset,swap_asset,1.0000,False,0.7
convert 34.6057 ETH into BTC via balancer on polygon with slippage 1%,swap_asset,swap_asset,1.0000,False,0.7
trade 18672 USDT for AAVE on sushiswap (arbitrum),swap_asset,swap_asset,1.0000,False,0.7
restake 4672 DAI with lido on solana — asap,stake_asset,stake_asset,0.9663,False,0.7
withdraw 18.0414 SOL from stargate on avalanche — asap,withdraw_asset,withdraw_asset,0.7619,False,0.7
harvest yield from uniswap on optimism,claim_rewards,claim_rewards,1.0000,False,0.7
restake 25.5694 MATIC with lido on arbitrum,stake_asset,stake_asset,0.8278,False,0.7
"unstake 12.0945 WETH from lido on avalanche — this minute, use fast gas",unstake_asset,unstake_asset,0.8008,False,0.7
close debt: repay 23.4877 WETH at compound ethereum — ok with higher gas,repay_asset,repay_asset,0.9077,False,0.7
swap 1.258954 BTC to WETH on sushiswap arbitrum — safe mode,swap_asset,swap_asset,1.0000,False,0.7
unstake 16.5648 ETH from yearn on solana,unstake_asset,unstake_asset,0.9815,False,0.7
collect incentives at yearn (solana) — right away,claim_rewards,claim_rewards,1.0000,False,0.7
restake 27.2527 SOL with curve on avalanche — normal mode,stake_asset,stake_asset,1.0000,False,0.7
remove 165.6592 AAVE from rocket pool,withdraw_asset,,0.6505,True,0.7
restake 1.900363 BTC with yearn on avalanche — high yield mode,stake_asset,stake_asset,1.0000,False,0.7
withdraw 3214.8506 AAVE from compound on avalanche — safe mode,withdraw_asset,withdraw_asset,0.9833,False,0.7
claim rewards on yearn (avalanche) — today,claim_rewards,claim_rewards,1.0000,False,0.7
"stake 48.0545 SOL on rocket pool (ethereum) — immediately, high yield mode",stake_asset,stake_asset,0.8218,False,0.7
remove 1437.6033 OP from compound,withdraw_asset,withdraw_asset,0.9663,False,0.7
repay 43.6674 WETH on aave (arbitrum) — use normal gas,repay_asset,repay_asset,0.9744,False,0.7
harvest yield from uniswap on arbitrum,claim_rewards,claim_rewards,0.9815,False,0.7
top up balancer with 37.2422 WETH on ethereum,deposit_asset,deposit_asset,1.0000,False,0.7
harvest yield from stargate on avalanche — this minute,claim_rewards,claim_rewards,0.9792,False,0.7
claim rewards on compound (polygon),claim_rewards,claim_rewards,1.0000,False,0.7
unlock 13262 DAI at balancer (polygon) — ok with higher gas,unstake_asset,unstake_asset,1.0000,False,0.7
pay back 45.8378 WETH to maker on polygon,repay_asset,repay_asset,1.0000,False,0.7
stake 44.4797 MATIC on balancer (ethereum),stake_asset,stake_asset,0.9812,False,0.7
reduce loan by 23958 USDT on aave (optimism),repay_asset,repay_asset,0.9744,False,0.7
trade 34.9473 MATIC for BTC on uniswap (polygon) with slippage 0.1%,swap_asset,swap_asset,0.9815,False,0.7
pull out 29.7726 MATIC from maker — normal mode,withdraw_asset,withdraw_asset,1.0000,False,0.7
"repay 2711.6001 ARB on maker (base) — today, safe mode",repay_asset,repay_asset,1.0000,False,0.7
restake 9.365 ETH with balancer on base,stake_asset,stake_asset,0.9526,False,0.7
top up lido with 42.3714 MATIC on arbitrum,deposit_asset,deposit_asset,1.0000,False,0.7
claim staking rewards on curve solana,claim_rewards,claim_rewards,1.0000,False,0.7
delegate 34.0667 WETH to balancer (optimism),stake_asset,stake_asset,1.0000,False,0.7
pull out 1.860781 WBTC from curve,withdraw_asset,withdraw_asset,0.9444,False,0.7
remove 1.677774 WBTC from compound,withdraw_asset,withdraw_asset,1.0000,False,0.7
"market swap 16193 DAI->LINK using uniswap on solana with slippage 1% — minimize gas, high yield mode",swap_asset,swap_asset,1.0000,False,0.7
undelegate 49.0211 MATIC on balancer (avalanche),unstake_asset,unstake_asset,0.9699,False,0.7
unlock 1307.1878 OP at pendle (arbitrum) — today,unstake_asset,unstake_asset,1.0000,False,0.7
take a loan of 3193.3486 LINK via aave (arbitrum) using SOL as collateral,borrow_asset,borrow_asset,1.0000,False,0.7
"top up yearn with 3363.8293 OP on ethereum — asap, use normal gas",deposit_asset,deposit_asset,0.9833,False,0.7
stake 3277.616 LINK on lido (base) — use fast gas,stake_asset,,0.6663,True,0.7
withdraw 3483.9524 AAVE from lido on solana,withdraw_asset,withdraw_asset,0.8499,False,0.7
harvest yield from curve on solana,claim_rewards,claim_rewards,1.0000,False,0.7
lock 2.388027 BTC in rocket pool on avalanche,stake_asset,stake_asset,0.8563,False,0.7
unlock 0.630628 WBTC at balancer (solana) — ok with higher gas,unstake_asset,unstake_asset,1.0000,False,0.7
claim staking rewards on pendle ethereum — this minute,claim_rewards,claim_rewards,0.9854,False,0.7
draw 2003.1529 LINK from aave on optimism — ok with higher gas,borrow_asset,,0.4167,True,0.7
unlock 3290.3395 ARB at curve (solana) — now,unstake_asset,unstake_asset,1.0000,False,0.7
pay back 0.0606 WETH to aave on avalanche,repay_asset,repay_asset,1.0000,False,0.7
unstake 2101.4644 AAVE from curve on solana — today,unstake_asset,unstake_asset,1.0000,False,0.7
"top up compound with 12.4491 WETH on solana — this minute, use fast gas",deposit_asset,deposit_asset,1.0000,False,0.7
top up uniswap with 1.844295 WBTC on solana,deposit_asset,deposit_asset,1.0000,False,0.7
top up curve with 48.2305 SOL on arbitrum,deposit_asset,deposit_asset,0.8889,False,0.7
put 11650 USDT into aave,deposit_asset,deposit_asset,1.0000,False,0.7
repay 4845.8086 AAVE on aave (polygon) — use normal gas,repay_asset,repay_asset,0.9744,False,0.7
repay 1.045258 WBTC on maker (arbitrum),repay_asset,repay_asset,0.9744,False,0.7
repay 3898.7463 ARB on aave (base) — use fast gas,repay_asset,repay_asset,1.0000,False,0.7
"close debt: repay 36.141 AVAX at compound base — today, use fast gas",repay_asset,repay_asset,0.8447,False,0.7
harvest yield from compound on solana — use fast gas,claim_rewards,claim_rewards,1.0000,False,0.7
borrow 45.021 ETH from compound on arbitrum,borrow_asset,borrow_asset,1.0000,False,0.7
convert 3330.1 OP into USDC via sushiswap on base,swap_asset,swap_asset,0.9663,False,0.7
collect incentives at stargate (ethereum),claim_rewards,claim_rewards,1.0000,False,0.7
open debt: 10.5308 ETH on maker solana,borrow_asset,borrow_asset,1.0000,False,0.7
open debt: 6583 DAI on compound avalanche,borrow_asset,borrow_asset,1.0000,False,0.7
"supply 1486.4032 OP to curve — immediately, high yield mode",deposit_asset,,0.6667,True,0.7
convert 7370 USDT into AVAX via balancer on solana with slippage 1% — today,swap_asset,swap_asset,0.9877,False,0.7
delegate 666.2103 AAVE to pendle (optimism) — high yield mode,stake_asset,stake_asset,0.9885,False,0.7
move 37.7239 WETH into pendle on ethereum — now,deposit_asset,deposit_asset,1.0000,False,0.7
harvest yield from lido on ethereum,claim_rewards,claim_rewards,1.0000,False,0.7
cash out 1.522963 WBTC from curve (ethereum),withdraw_asset,withdraw_asset,1.0000,False,0.7
delegate 4061.2327 ARB to rocket pool (ethereum),stake_asset,stake_asset,0.9885,False,0.7
pay back 45.9754 MATIC to compound on polygon,repay_asset,repay_asset,1.0000,False,0.7
close debt: repay 3160.5157 ARB at maker avalanche,repay_asset,repay_asset,0.9744,False,0.7
take a loan of 3441.9957 LINK via compound (avalanche) using WETH as collateral — minimize gas,borrow_asset,borrow_asset,1.0000,False,0.7
trade 17.7589 ETH for USDT on sushiswap (polygon) — this minute,swap_asset,swap_asset,0.8750,False,0.7
claim staking rewards on rocket pool avalanche — high yield mode,claim_rewards,claim_rewards,1.0000,False,0.7
"restake 12934 USDT with yearn on ethereum — this minute, minimize gas",stake_asset,stake_asset,1.0000,False,0.7
lock 2.227598 WBTC in curve on optimism,stake_asset,stake_asset,1.0000,False,0.7
withdraw staked 21811 USDT from pendle optimism — minimize gas,unstake_asset,unstake_asset,1.0000,False,0.7
cash out 4873.2465 AAVE from aave (ethereum) — right away,withdraw_asset,withdraw_asset,1.0000,False,0.7
put 3594.8573 LINK into rocket pool — today,deposit_asset,deposit_asset,1.0000,False,0.7
cash out 3188.0184 ARB from rocket pool (base) — asap,withdraw_asset,withdraw_asset,1.0000,False,0.7
convert 751.3489 AAVE into ARB via curve on solana with slippage 0.2%,swap_asset,swap_asset,0.9663,False,0.7
stake 4032.5537 LINK on pendle (avalanche) — minimize gas,stake_asset,stake_asset,0.9002,False,0.7
repay 48.4726 ETH on maker (solana) — use normal gas,repay_asset,repay_asset,1.0000,False,0.7
remove 10.49 SOL from aave — this minute,withdraw_asset,withdraw_asset,1.0000,False,0.7
collect incentives at balancer (avalanche) — today,claim_rewards,claim_rewards,1.0000,False,0.7
harvest yield from stargate on polygon,claim_rewards,claim_rewards,1.0000,False,0.7
delegate 2.421969 WBTC to yearn (ethereum),stake_asset,stake_asset,1.0000,False,0.7
market swap 23119 DAI->SOL using uniswap on avalanche,swap_asset,swap_asset,1.0000,False,0.7
pay back 1402.0334 OP to maker on base — now,repay_asset,repay_asset,1.0000,False,0.7
unstake 1508.0058 ARB from curve on optimism,unstake_asset,unstake_asset,1.0000,False,0.7
repay 29.9806 SOL on aave (ethereum),repay_asset,repay_asset,1.0000,False,0.7
move 22197 USDC into aave on solana — high yield mode,deposit_asset,deposit_asset,0.8877,False,0.7
put 16003 USDT into curve,deposit_asset,deposit_asset,1.0000,False,0.7
"fund balancer with 4176.2055 LINK (optimism) — this minute, use normal gas",deposit_asset,deposit_asset,1.0000,False,0.7
"draw 4298.1995 OP from maker on optimism using BTC as collateral — today, high yield mode",borrow_asset,borrow_asset,1.0000,False,0.7
take a loan of 6846 DAI via compound (solana) using BTC as collateral,borrow_asset,borrow_asset,1.0000,False,0.7
borrow 3208.2528 OP from maker on arbitrum using AVAX as collateral — asap,borrow_asset,borrow_asset,1.0000,False,0.7
swap 3785.2341 ARB to USDT on uniswap ethereum,swap_asset,swap_asset,1.0000,False,0.7
repay 15.0279 ETH on compound (solana),repay_asset,repay_asset,1.0000,False,0.7
delegate 35.5888 SOL to lido (ethereum) — right away,stake_asset,stake_asset,1.0000,False,0.7
fund aave with 8.6106 MATIC (base),deposit_asset,deposit_asset,0.9882,False,0.7
harvest yield from rocket pool on polygon — asap,claim_rewards,claim_rewards,1.0000,False,0.7
swap 3.0998 SOL to AAVE on uniswap ethereum — this minute,swap_asset,swap_asset,1.0000,False,0.7
reduce loan by 0.928795 WBTC on maker (avalanche),repay_asset,repay_asset,0.8111,False,0.7
"top up aave with 17449 DAI on polygon — now, safe mode",deposit_asset,deposit_asset,1.0000,False,0.7
move 1989.3057 OP into pendle on polygon — immediately,deposit_asset,deposit_asset,0.9895,False,0.7
swap 24319 USDT to SOL on uniswap arbitrum — right away,swap_asset,swap_asset,1.0000,False,0.7
provide 23254 DAI on curve,deposit_asset,deposit_asset,1.0000,False,0.7
"repay 1.337917 WBTC on compound (polygon) — this minute, high yield mode",repay_asset,repay_asset,1.0000,False,0.7
provide 2422.6525 LINK on rocket pool,deposit_asset,deposit_asset,1.0000,False,0.7
put 517.7427 LINK into compound — minimize gas,deposit_asset,deposit_asset,1.0000,False,0.7
put 37.3634 WETH into aave — this minute,deposit_asset,deposit_asset,1.0000,False,0.7
cash out 16194 USDC from lido (optimism),withdraw_asset,withdraw_asset,1.0000,False,0.7
stake 13468 USDT on yearn (base) — safe mode,stake_asset,stake_asset,0.9663,False,0.7
unlock 519.0981 LINK at lido (polygon) — right away,unstake_asset,unstake_asset,0.9387,False,0.7
lock 1.505253 WBTC in lido on solana — immediately,stake_asset,stake_asset,0.9164,False,0.7
claim staking rewards on curve ethereum,claim_rewards,claim_rewards,1.0000,False,0.7
"trade 2.342115 BTC for LINK on balancer (ethereum) — immediately, normal mode",swap_asset,swap_asset,1.0000,False,0.7
open debt: 6.9501 MATIC on maker base — use fast gas,borrow_asset,borrow_asset,1.0000,False,0.7
pay back 28.3296 SOL to maker on ethereum,repay_asset,repay_asset,1.0000,False,0.7
"withdraw 19.8824 WETH from uniswap on arbitrum — right away, normal mode",withdraw_asset,withdraw_asset,0.9372,False,0.7
undelegate 3649.3872 ARB on rocket pool (optimism) — asap,unstake_asset,unstake_asset,1.0000,False,0.7
lock 22632 DAI in pendle on solana — this minute,stake_asset,stake_asset,0.9675,False,0.7
reduce loan by 47.2754 ETH on compound (optimism) — asap,repay_asset,repay_asset,0.9744,False,0.7
restake 28.4703 AVAX with balancer on optimism,stake_asset,stake_asset,1.0000,False,0.7
withdraw staked 2.010858 BTC from lido ethereum,unstake_asset,unstake_asset,0.7431,False,0.7
convert 24171 USDT into BTC via sushiswap on avalanche — right away,swap_asset,swap_asset,1.0000,False,0.7
undelegate 2.381832 BTC on pendle (base) — use fast gas,unstake_asset,unstake_asset,0.9125,False,0.7
provide 0.928158 BTC on balancer,deposit_asset,deposit_asset,1.0000,False,0.7
"add liquidity: deposit 1.827178 WBTC to balancer (ethereum) — asap, safe mode",deposit_asset,deposit_asset,1.0000,False,0.7
claim staking rewards on sushiswap avalanche,claim_rewards,claim_rewards,1.0000,False,0.7
move 18895 DAI into balancer on avalanche,deposit_asset,,0.4737,True,0.7
"remove 2142.346 AAVE from compound — right away, use normal gas",withdraw_asset,withdraw_asset,1.0000,False,0.7
unlock 3265.1702 LINK at yearn (solana),unstake_asset,unstake_asset,0.8940,False,0.7
close debt: repay 35.5022 AVAX at aave base,repay_asset,repay_asset,0.9744,False,0.7
"pay back 20.4117 MATIC to maker on optimism — right away, high yield mode",repay_asset,repay_asset,1.0000,False,0.7
supply 24618 USDT to rocket pool — today,deposit_asset,deposit_asset,1.0000,False,0.7
swap 1.652174 WBTC to BTC on uniswap polygon — high yield mode,swap_asset,swap_asset,1.0000,False,0.7
claim rewards on aave (arbitrum),claim_rewards,claim_rewards,1.0000,False,0.7
market swap 15344 DAI->SOL using uniswap on arbitrum,swap_asset,swap_asset,1.0000,False,0.7
"deposit 1145.4407 LINK into yearn on avalanche — use fast gas, high yield mode",deposit_asset,deposit_asset,1.0000,False,0.7
harvest yield from aave on arbitrum,claim_rewards,claim_rewards,1.0000,False,0.7
"withdraw staked 3757.0098 OP from balancer optimism — immediately, use normal gas",unstake_asset,unstake_asset,1.0000,False,0.7
open debt: 21.9559 WETH on aave arbitrum using USDC as collateral,borrow_asset,borrow_asset,1.0000,False,0.7
unstake 28.9876 AVAX from yearn on arbitrum — high yield mode,unstake_asset,unstake_asset,1.0000,False,0.7
top up rocket pool with 20560 USDT on ethereum — use fast gas,deposit_asset,deposit_asset,1.0000,False,0.7
delegate 2.5234 SOL to balancer (avalanche),stake_asset,stake_asset,1.0000,False,0.7
fund rocket pool with 1037 DAI (solana) — use normal gas,deposit_asset,deposit_asset,0.9789,False,0.7
collect incentives at aave (optimism) — safe mode,claim_rewards,claim_rewards,1.0000,False,0.7
swap 6615 USDT to LINK on curve base — today,swap_asset,swap_asset,0.8192,False,0.7
collect incentives at aave (avalanche),claim_rewards,claim_rewards,1.0000,False,0.7
unlock 2028.6087 LINK at pendle (arbitrum) — this minute,unstake_asset,unstake_asset,0.9524,False,0.7
remove 8232 USDC from aave — ok with higher gas,withdraw_asset,withdraw_asset,1.0000,False,0.7
lock 19.7694 ETH in balancer on base,stake_asset,stake_asset,1.0000,False,0.7
