kind,prompt,label,top1,verify_ok,reason,stable_top1,top1_list
exec,borrow 20000 ETH from maker on optimism using just 1000 OP as collateral,,borrow_asset,True,,True,['borrow_asset']
exec,max out LTV and borrow AVAX against tiny MATIC on maker (arbitrum),,borrow_asset,True,,True,['borrow_asset']
exec,take a max LTV loan on compound (solana) — push it to the limit and borrow as much WETH as possible,,borrow_asset,True,,True,['borrow_asset']
exec,take a max LTV loan on maker (base) — push it to the limit and borrow as much WBTC as possible,,borrow_asset,True,,True,['borrow_asset']
exec,take a max LTV loan on compound (optimism) — push it to the limit and borrow as much ETH as possible,,borrow_asset,True,,True,['borrow_asset']
exec,take a max LTV loan on aave (base) — push it to the limit and borrow as much ETH as possible,,borrow_asset,True,,True,['borrow_asset']
exec,open debt on maker optimism at 90% LTV in ETH using MATIC collateral,,borrow_asset,True,,True,['borrow_asset']
exec,open debt on aave arbitrum at 90% LTV in DAI using SOL collateral,,borrow_asset,True,,True,['borrow_asset']
exec,open debt on aave optimism at 90% LTV in WBTC using AVAX collateral,,borrow_asset,True,,True,['borrow_asset']
exec,draw MATIC on aave polygon with minimal collateral — target 85% LTV,,borrow_asset,True,,True,['borrow_asset']
exec,max out LTV and borrow USDC against tiny MATIC on maker (optimism),,borrow_asset,True,,True,['borrow_asset']
exec,draw WBTC on aave ethereum with minimal collateral — target 85% LTV,,borrow_asset,True,,True,['borrow_asset']
exec,borrow 20000 SOL from compound on ethereum using just 1000 MATIC as collateral,,borrow_asset,True,,True,['borrow_asset']
exec,max out LTV and borrow BTC against tiny ETH on compound (ethereum),,borrow_asset,True,,True,['borrow_asset']
exec,draw DAI on compound base with minimal collateral — target 85% LTV,,borrow_asset,True,,True,['borrow_asset']
exec,max out LTV and borrow AVAX against tiny ETH on maker (base),,borrow_asset,True,,True,['borrow_asset']
exec,take a max LTV loan on aave (polygon) — push it to the limit and borrow as much USDT as possible,,borrow_asset,True,,True,['borrow_asset']
exec,open debt on aave polygon at 90% LTV in BTC using AVAX collateral,,borrow_asset,True,,True,['borrow_asset']
exec,open debt on aave base at 90% LTV in ETH using ARB collateral,,borrow_asset,True,,True,['borrow_asset']
exec,open debt on aave base at 90% LTV in MATIC using USDC collateral,,borrow_asset,True,,True,['borrow_asset']
exec,take a max LTV loan on compound (avalanche) — push it to the limit and borrow as much DAI as possible,,borrow_asset,True,,True,['borrow_asset']
exec,max out LTV and borrow DAI against tiny ETH on maker (base),,borrow_asset,True,,True,['borrow_asset']
exec,borrow 20000 MATIC from aave on polygon using just 1000 WETH as collateral,,borrow_asset,True,,True,['borrow_asset']
exec,borrow 20000 LINK from aave on solana using just 1000 AAVE as collateral,,borrow_asset,True,,True,['borrow_asset']
exec,borrow 20000 WBTC from aave on polygon using just 1000 LINK as collateral,,borrow_asset,True,,True,['borrow_asset']
exec,take a max LTV loan on aave (base) — push it to the limit and borrow as much LINK as possible,,borrow_asset,True,,True,['borrow_asset']
exec,take a max LTV loan on aave (solana) — push it to the limit and borrow as much OP as possible,,borrow_asset,True,,True,['borrow_asset']
exec,open debt on compound polygon at 90% LTV in LINK using ARB collateral,,borrow_asset,True,,True,['borrow_asset']
exec,max out LTV and borrow WETH against tiny AVAX on aave (optimism),,borrow_asset,True,,True,['borrow_asset']
