prompt,gold_label,mapper_top,mapper_conf,audit_sequence,audit_decision,approved
withdraw 3296.6955 SOL — safe mode,withdraw_asset,withdraw_asset,0.6705,,ABSTAIN,False
provide 3887.2451 LINK — use normal gas,deposit_asset,deposit_asset,1.0000,,ABSTAIN,False
borrow 2494.2492 MATIC from aave on polygon — safe mode,borrow_asset,borrow_asset,1.0000,,ABSTAIN,False
add liquidity to 1741.1876 AAVE to stargate on polygon — safe mode,deposit_asset,deposit_asset,1.0000,deposit_asset,PASS,True
withdraw 2237.5171 AVAX from stargate on polygon — use normal gas,withdraw_asset,withdraw_asset,0.9442,,ABSTAIN,False
swap 4289.1188 USDC to WETH on aave — minimize gas,swap_asset,swap_asset,1.0000,,ABSTAIN,False
collect rewards on sushiswap on solana — use normal gas,claim_rewards,claim_rewards,1.0000,claim_rewards,PASS,True
exchange 3059.6254 MATIC to WBTC on stargate — use normal gas,swap_asset,deposit_asset,0.6696,,ABSTAIN,False
draw 3604.6954 ARB into aave on ethereum ,borrow_asset,borrow_asset,0.3973,,ABSTAIN,False
harvest aave on base — low slippage,claim_rewards,claim_rewards,0.9947,,ABSTAIN,False
swap 1126.4072 USDC to ARB on aave — use normal gas,swap_asset,swap_asset,1.0000,swap_asset,PASS,True
lock 4966.4162 MATIC ,stake_asset,stake_asset,0.8840,,ABSTAIN,False
open a loan for 4366.7785 WBTC from balancer on polygon ,borrow_asset,borrow_asset,1.0000,repay_asset|borrow_asset,PASS,True
swap 3547.4391 WBTC to USDT on balancer — safe mode,swap_asset,swap_asset,1.0000,,ABSTAIN,False
pay back 958.4274 OP into stargate on arbitrum — asap,repay_asset,repay_asset,0.7083,repay_asset,PASS,True
pay back 2100.9792 MATIC to curve on ethereum — safe mode,repay_asset,borrow_asset,0.1250,repay_asset,PASS,True
claim rewards from uniswap on optimism ,claim_rewards,claim_rewards,1.0000,claim_rewards,PASS,True
open a loan for 2202.5581 SOL from sushiswap on optimism — safe mode,borrow_asset,borrow_asset,0.7083,repay_asset|borrow_asset,PASS,True
repay 1913.4898 MATIC — use normal gas,repay_asset,repay_asset,0.9778,repay_asset,PASS,True
convert 3161.362 WBTC to ARB on uniswap — use normal gas,swap_asset,swap_asset,0.6233,,ABSTAIN,False
swap 3025.7142 SOL to USDC on aave ,swap_asset,swap_asset,1.0000,,ABSTAIN,False
borrow 299.5707 USDT into curve on solana — safe mode,borrow_asset,borrow_asset,0.4167,,ABSTAIN,False
unstake and take out 68.9624 MATIC — minimize gas,withdraw_asset,withdraw_asset,0.5258,unstake_asset|withdraw_asset,PASS,True
trade 1225.4994 AVAX to LINK on compound — use normal gas,swap_asset,deposit_asset,0.7798,,ABSTAIN,False
supply 1585.539 AVAX ,deposit_asset,deposit_asset,1.0000,,ABSTAIN,False
supply 140.3579 SOL to aave on ethereum — safe mode,deposit_asset,deposit_asset,1.0000,,ABSTAIN,False
draw 2756.3802 LINK ,borrow_asset,deposit_asset,0.9744,,ABSTAIN,False
unlock 1017.6278 WBTC into sushiswap on ethereum — use normal gas,unstake_asset,swap_asset,0.5618,,ABSTAIN,False
bond 577.5577 AVAX into curve on ethereum — asap,stake_asset,borrow_asset,0.4167,,ABSTAIN,False
pay back 4855.5726 WBTC ,repay_asset,repay_asset,0.9606,,ABSTAIN,False
bond 3634.7231 ARB — low slippage,stake_asset,stake_asset,0.7083,,ABSTAIN,False
unlock 3688.5362 MATIC into yearn on ethereum — asap,unstake_asset,unstake_asset,1.0000,,ABSTAIN,False
unbond 4480.8452 LINK from stargate on arbitrum — low slippage,unstake_asset,withdraw_asset,0.7430,,ABSTAIN,False
collect rewards on aave on base — low slippage,claim_rewards,claim_rewards,1.0000,claim_rewards,PASS,True
borrow 4938.5663 SOL — low slippage,borrow_asset,borrow_asset,1.0000,,ABSTAIN,False
unlock 3568.4058 WETH into balancer on arbitrum — minimize gas,unstake_asset,unstake_asset,1.0000,,ABSTAIN,False
convert 4518.1291 USDC to WETH on curve — low slippage,swap_asset,swap_asset,0.9885,,ABSTAIN,False
provide 890.4777 USDT to curve on arbitrum — minimize gas,deposit_asset,swap_asset,0.6667,,ABSTAIN,False
unstake and take out 1181.2487 AAVE from aave on polygon — minimize gas,withdraw_asset,unstake_asset,0.7251,unstake_asset|withdraw_asset,PASS,True
close out the loan for 81.6817 AAVE to sushiswap on base — asap,repay_asset,borrow_asset,0.4167,borrow_asset|withdraw_asset|repay_asset,PASS,True
top up 3237.0415 WBTC to compound on avalanche ,deposit_asset,deposit_asset,1.0000,,ABSTAIN,False
pay back 2554.0767 SOL into aave on ethereum — low slippage,repay_asset,repay_asset,0.8018,repay_asset|swap_asset,PASS,True
unbond 3700.9689 USDT from stargate on ethereum ,unstake_asset,withdraw_asset,0.7150,,ABSTAIN,False
lock 1359.7805 DAI to yearn on solana — low slippage,stake_asset,stake_asset,0.9675,,ABSTAIN,False
bond 4489.1137 MATIC into yearn on base — use normal gas,stake_asset,stake_asset,0.5725,,ABSTAIN,False
trade 4751.7528 USDC to WETH on compound — use normal gas,swap_asset,swap_asset,0.6667,,ABSTAIN,False
collect rewards on uniswap on optimism — asap,claim_rewards,claim_rewards,1.0000,claim_rewards|unstake_asset,PASS,True
convert 4543.1936 MATIC to USDC on balancer — use normal gas,swap_asset,swap_asset,0.9083,,ABSTAIN,False
unlock 3127.2312 ARB from aave on base — use normal gas,unstake_asset,unstake_asset,1.0000,,ABSTAIN,False
draw 3405.613 LINK — low slippage,borrow_asset,deposit_asset,0.5556,,ABSTAIN,False
unstake and take out 4769.795 AVAX from uniswap on base — low slippage,withdraw_asset,unstake_asset,0.5087,unstake_asset|withdraw_asset,PASS,True
repay 2217.4601 DAI into uniswap on optimism — asap,repay_asset,repay_asset,1.0000,repay_asset|unstake_asset,PASS,True
redeem 4129.4558 USDT — minimize gas,withdraw_asset,withdraw_asset,1.0000,,ABSTAIN,False
exchange 1236.446 WETH to USDT on uniswap — use normal gas,swap_asset,swap_asset,0.8549,,ABSTAIN,False
harvest stargate on avalanche — minimize gas,claim_rewards,claim_rewards,0.9870,,ABSTAIN,False
repay 267.9782 DAI ,repay_asset,repay_asset,0.8750,,ABSTAIN,False
top up 3348.9443 MATIC into aave on polygon — asap,deposit_asset,deposit_asset,1.0000,,ABSTAIN,False
exchange 4778.8046 OP to USDT on stargate — use normal gas,swap_asset,swap_asset,0.6098,,ABSTAIN,False
draw 953.2908 SOL — safe mode,borrow_asset,deposit_asset,0.7073,,ABSTAIN,False
stake 4530.3219 LINK to yearn on optimism — use normal gas,stake_asset,stake_asset,0.8962,,ABSTAIN,False
stake 303.4188 LINK into balancer on optimism — low slippage,stake_asset,stake_asset,0.9697,,ABSTAIN,False
