prompt,label,top1,margin
delegate 14.3826 ETH to yearn (avalanche) — use fast gas,stake_asset,deposit_asset,0.08017293
collect incentives at balancer (polygon) — right away,claim_rewards,claim_rewards,0.3862877
market swap 26.3876 MATIC->WBTC using sushiswap on polygon with slippage 0.1% — right away,swap_asset,swap_asset,0.8605715
withdraw staked 487.3202 OP from balancer ethereum — right away,unstake_asset,deposit_asset,0.04132849
stake 1.271387 BTC on rocket pool (base),stake_asset,unstake_asset,0.009270787
claim rewards on maker (arbitrum),claim_rewards,claim_rewards,0.8075273
trade 6823 USDC for ETH on curve (arbitrum) — now,swap_asset,swap_asset,0.3605476
deposit 28.967 WETH into yearn on arbitrum,deposit_asset,deposit_asset,0.03478326
restake 3989.2693 LINK with curve on arbitrum,stake_asset,swap_asset,0.063633636
"unstake 4974.62 AAVE from rocket pool on avalanche — immediately, high yield mode",unstake_asset,unstake_asset,0.11366877
pull out 15.5176 MATIC from pendle — normal mode,withdraw_asset,withdraw_asset,0.19380617
provide 3133.7058 OP on stargate — use normal gas,deposit_asset,deposit_asset,0.35261604
lock 7.8507 WETH in curve on solana,stake_asset,withdraw_asset,0.010992765
harvest yield from lido on polygon,claim_rewards,claim_rewards,0.35009596
harvest yield from lido on polygon,claim_rewards,claim_rewards,0.35009596
unlock 21.3856 AVAX at rocket pool (polygon) — this minute,unstake_asset,unstake_asset,0.02645868
unlock 38.9677 WETH at lido (base),unstake_asset,stake_asset,0.006045282
redeem 3249.1634 OP from yearn (base),withdraw_asset,stake_asset,0.20662597
claim staking rewards on curve base,claim_rewards,claim_rewards,0.6460044
claim staking rewards on curve base,claim_rewards,claim_rewards,0.6460044
claim staking rewards on curve base,claim_rewards,claim_rewards,0.6460044
restake 10622 USDC with lido on optimism — asap,stake_asset,unstake_asset,0.029693574
repay 9261 USDC on compound (ethereum) — minimize gas,repay_asset,borrow_asset,0.14894319
trade 3389.1714 OP for WBTC on curve (base) with slippage 1% — asap,swap_asset,swap_asset,0.44087672
swap 3229.3468 LINK to AAVE on curve avalanche with slippage 0.1%,swap_asset,swap_asset,0.32249898
claim staking rewards on pendle optimism — high yield mode,claim_rewards,claim_rewards,0.42702955
trade 32.883 MATIC for WBTC on curve (avalanche),swap_asset,swap_asset,0.25770736
convert 1216 USDT into WETH via balancer on ethereum,swap_asset,deposit_asset,0.17272684
close debt: repay 1346 USDT at maker polygon,repay_asset,borrow_asset,0.16346097
cash out 0.05873 BTC from maker (solana) — asap,withdraw_asset,repay_asset,0.06766641
unstake 40.3119 ETH from curve on polygon,unstake_asset,withdraw_asset,0.04202944
top up curve with 2.2646 AVAX on arbitrum — use fast gas,deposit_asset,withdraw_asset,0.02550222
claim staking rewards on aave solana,claim_rewards,claim_rewards,0.59932727
swap 684.2186 LINK to USDC on uniswap arbitrum with slippage 0.2% — minimize gas,swap_asset,swap_asset,0.6401643
open debt: 1932.7248 ARB on compound solana using LINK as collateral,borrow_asset,repay_asset,0.081725776
restake 9.4125 SOL with lido on avalanche — ok with higher gas,stake_asset,unstake_asset,0.043355078
pull out 3415.9313 OP from uniswap — normal mode,withdraw_asset,withdraw_asset,0.06553614
claim rewards on maker (solana) — use fast gas,claim_rewards,claim_rewards,0.5817025
take a loan of 3451.5982 LINK via maker (arbitrum) — high yield mode,borrow_asset,repay_asset,0.13212588
provide 21597 DAI on rocket pool,deposit_asset,deposit_asset,0.054323822
remove 33.7285 MATIC from stargate,withdraw_asset,unstake_asset,0.113269806
market swap 25.7623 ETH->SOL using balancer on avalanche with slippage 1%,swap_asset,swap_asset,0.7163528
swap 22.1568 SOL to ARB on curve ethereum — asap,swap_asset,swap_asset,0.10183352
stake 1629.5167 ARB on yearn (solana),stake_asset,stake_asset,0.2514121
reduce loan by 12486 USDC on compound (ethereum),repay_asset,borrow_asset,0.12194413
lock 3747.8802 AAVE in rocket pool on avalanche — now,stake_asset,unstake_asset,0.091362834
"withdraw staked 19757 USDT from lido ethereum — today, use fast gas, normal mode",unstake_asset,deposit_asset,0.19107452
withdraw 222.9527 LINK from uniswap on arbitrum,withdraw_asset,swap_asset,0.4461967
draw 14223 USDT from aave on ethereum,borrow_asset,withdraw_asset,0.053984985
pay back 16161 USDT to aave on solana — immediately,repay_asset,repay_asset,0.1732223
redeem 1319.6368 ARB from compound (ethereum) — right away,withdraw_asset,stake_asset,0.017231762
claim rewards on stargate (ethereum),claim_rewards,claim_rewards,0.7996086
undelegate 1.00574 WBTC on pendle (solana) — immediately,unstake_asset,stake_asset,0.07293135
convert 11.5522 ETH into MATIC via sushiswap on base with slippage 0.2%,swap_asset,swap_asset,0.6478523
undelegate 2664.3434 AAVE on balancer (base),unstake_asset,unstake_asset,0.058751643
restake 33.1326 AVAX with curve on arbitrum,stake_asset,withdraw_asset,0.015142158
pull out 41.2999 AVAX from lido — normal mode,withdraw_asset,unstake_asset,0.0021936893
fund compound with 3877.0728 ARB (optimism) — this minute,deposit_asset,repay_asset,0.069630235
restake 4652.2459 ARB with pendle on optimism,stake_asset,stake_asset,0.08382383
claim rewards on lido (polygon),claim_rewards,claim_rewards,0.36133197
claim rewards on lido (polygon),claim_rewards,claim_rewards,0.36133197
claim rewards on rocket pool (solana),claim_rewards,claim_rewards,0.49149758
claim rewards on rocket pool (solana),claim_rewards,claim_rewards,0.49149758
claim rewards on rocket pool (solana),claim_rewards,claim_rewards,0.49149758
claim rewards on rocket pool (solana),claim_rewards,claim_rewards,0.49149758
claim rewards on rocket pool (solana),claim_rewards,claim_rewards,0.49149758
collect incentives at compound (polygon) — asap,claim_rewards,claim_rewards,0.39504075
draw 1.156234 WBTC from compound on solana using WETH as collateral,borrow_asset,borrow_asset,0.009377211
"collect incentives at sushiswap (avalanche) — now, minimize gas",claim_rewards,claim_rewards,0.1514974
add liquidity: deposit 2624.4826 ARB to pendle (ethereum),deposit_asset,stake_asset,0.05877942
remove 5.7029 WETH from stargate — normal mode,withdraw_asset,unstake_asset,0.057129383
"top up compound with 2239.2724 LINK on avalanche — this minute, ok with higher gas",deposit_asset,unstake_asset,0.07528478
take a loan of 3535 USDC via aave (ethereum) — safe mode,borrow_asset,repay_asset,0.06155616
lock 4333.2006 LINK in pendle on solana,stake_asset,stake_asset,0.16009957
pay back 17505 USDT to aave on ethereum,repay_asset,repay_asset,0.042897344
open debt: 18254 DAI on aave arbitrum,borrow_asset,repay_asset,0.068688214
claim staking rewards on aave arbitrum,claim_rewards,claim_rewards,0.62274325
claim staking rewards on aave arbitrum,claim_rewards,claim_rewards,0.62274325
harvest yield from balancer on arbitrum,claim_rewards,claim_rewards,0.39422193
harvest yield from balancer on arbitrum,claim_rewards,claim_rewards,0.39422193
put 2517.84 OP into rocket pool,deposit_asset,deposit_asset,0.10839599
fund balancer with 46.3296 ETH (optimism),deposit_asset,repay_asset,0.032876685
pay back 22903 USDC to aave on solana — safe mode,repay_asset,repay_asset,0.18945283
market swap 6682 DAI->ARB using sushiswap on base with slippage 1%,swap_asset,swap_asset,0.81895155
market swap 1.327043 BTC->ETH using uniswap on solana with slippage 0.2% — high yield mode,swap_asset,swap_asset,0.6259661
swap 17722 USDT to MATIC on sushiswap avalanche with slippage 0.5% — safe mode,swap_asset,swap_asset,0.75071055
deposit 3200.9519 OP into balancer on optimism — immediately,deposit_asset,repay_asset,0.060409427
pay back 45.0458 WETH to maker on arbitrum — now,repay_asset,repay_asset,0.091910005
claim staking rewards on rocket pool arbitrum — normal mode,claim_rewards,claim_rewards,0.45837575
harvest yield from uniswap on base,claim_rewards,claim_rewards,0.292172
harvest yield from uniswap on base,claim_rewards,claim_rewards,0.292172
harvest yield from uniswap on base,claim_rewards,claim_rewards,0.292172
collect incentives at maker (avalanche),claim_rewards,claim_rewards,0.6320216
remove 8739 USDT from pendle — use normal gas,withdraw_asset,deposit_asset,0.0926134
withdraw staked 3551.824 ARB from rocket pool avalanche — use fast gas,unstake_asset,unstake_asset,0.030388892
fund lido with 20458 DAI (base),deposit_asset,stake_asset,0.11222705
repay 13457 DAI on maker (solana),repay_asset,repay_asset,0.07760057
collect incentives at balancer (base),claim_rewards,claim_rewards,0.59037864
"remove 14285 USDT from pendle — now, safe mode",withdraw_asset,withdraw_asset,0.02485907
lock 3499.5595 LINK in pendle on arbitrum,stake_asset,stake_asset,0.05140215
claim staking rewards on balancer solana — normal mode,claim_rewards,claim_rewards,0.6473383
swap 21.4244 AVAX to OP on uniswap optimism,swap_asset,swap_asset,0.42517927
unstake 725.1881 ARB from rocket pool on avalanche — immediately,unstake_asset,unstake_asset,0.108392924
supply 7.8146 WETH to stargate,deposit_asset,deposit_asset,0.2055546
trade 42.474 ETH for USDT on curve (solana) with slippage 0.2%,swap_asset,swap_asset,0.21803534
convert 34.6057 ETH into BTC via balancer on polygon with slippage 1%,swap_asset,swap_asset,0.41074163
trade 18672 USDT for AAVE on sushiswap (arbitrum),swap_asset,swap_asset,0.56308925
restake 4672 DAI with lido on solana — asap,stake_asset,stake_asset,0.11095995
withdraw 18.0414 SOL from stargate on avalanche — asap,withdraw_asset,unstake_asset,0.15524088
harvest yield from uniswap on optimism,claim_rewards,claim_rewards,0.37263292
restake 25.5694 MATIC with lido on arbitrum,stake_asset,stake_asset,0.051791668
"unstake 12.0945 WETH from lido on avalanche — this minute, use fast gas",unstake_asset,unstake_asset,0.067176044
close debt: repay 23.4877 WETH at compound ethereum — ok with higher gas,repay_asset,borrow_asset,0.09748703
swap 1.258954 BTC to WETH on sushiswap arbitrum — safe mode,swap_asset,swap_asset,0.46583107
unstake 16.5648 ETH from yearn on solana,unstake_asset,withdraw_asset,0.13518906
collect incentives at yearn (solana) — right away,claim_rewards,claim_rewards,0.49217805
restake 27.2527 SOL with curve on avalanche — normal mode,stake_asset,unstake_asset,0.05750171
remove 165.6592 AAVE from rocket pool,withdraw_asset,unstake_asset,0.019181907
restake 1.900363 BTC with yearn on avalanche — high yield mode,stake_asset,claim_rewards,0.01864563
withdraw 3214.8506 AAVE from compound on avalanche — safe mode,withdraw_asset,unstake_asset,0.003740266
claim rewards on yearn (avalanche) — today,claim_rewards,claim_rewards,0.7669331
"stake 48.0545 SOL on rocket pool (ethereum) — immediately, high yield mode",stake_asset,deposit_asset,0.16732693
remove 1437.6033 OP from compound,withdraw_asset,withdraw_asset,0.059425056
repay 43.6674 WETH on aave (arbitrum) — use normal gas,repay_asset,repay_asset,0.053329974
harvest yield from uniswap on arbitrum,claim_rewards,claim_rewards,0.21670008
harvest yield from uniswap on arbitrum,claim_rewards,claim_rewards,0.21670008
top up balancer with 37.2422 WETH on ethereum,deposit_asset,deposit_asset,0.23576581
harvest yield from stargate on avalanche — this minute,claim_rewards,claim_rewards,0.39430785
claim rewards on compound (polygon),claim_rewards,claim_rewards,0.49910492
claim rewards on compound (polygon),claim_rewards,claim_rewards,0.49910492
unlock 13262 DAI at balancer (polygon) — ok with higher gas,unstake_asset,withdraw_asset,0.028457537
pay back 45.8378 WETH to maker on polygon,repay_asset,borrow_asset,0.22818752
stake 44.4797 MATIC on balancer (ethereum),stake_asset,swap_asset,0.02213879
reduce loan by 23958 USDT on aave (optimism),repay_asset,repay_asset,0.1727159
trade 34.9473 MATIC for BTC on uniswap (polygon) with slippage 0.1%,swap_asset,swap_asset,0.57294375
pull out 29.7726 MATIC from maker — normal mode,withdraw_asset,withdraw_asset,0.21539092
"repay 2711.6001 ARB on maker (base) — today, safe mode",repay_asset,repay_asset,0.12474489
restake 9.365 ETH with balancer on base,stake_asset,claim_rewards,0.094074994
top up lido with 42.3714 MATIC on arbitrum,deposit_asset,stake_asset,0.021243453
claim staking rewards on curve solana,claim_rewards,claim_rewards,0.5796004
claim staking rewards on curve solana,claim_rewards,claim_rewards,0.5796004
claim staking rewards on curve solana,claim_rewards,claim_rewards,0.5796004
claim staking rewards on curve solana,claim_rewards,claim_rewards,0.5796004
claim staking rewards on curve solana,claim_rewards,claim_rewards,0.5796004
delegate 34.0667 WETH to balancer (optimism),stake_asset,deposit_asset,0.06431844
pull out 1.860781 WBTC from curve,withdraw_asset,withdraw_asset,0.05233693
remove 1.677774 WBTC from compound,withdraw_asset,withdraw_asset,0.010586798
"market swap 16193 DAI->LINK using uniswap on solana with slippage 1% — minimize gas, high yield mode",swap_asset,swap_asset,0.5532383
undelegate 49.0211 MATIC on balancer (avalanche),unstake_asset,unstake_asset,0.123841524
unlock 1307.1878 OP at pendle (arbitrum) — today,unstake_asset,stake_asset,0.16540548
take a loan of 3193.3486 LINK via aave (arbitrum) using SOL as collateral,borrow_asset,repay_asset,0.12075293
"top up yearn with 3363.8293 OP on ethereum — asap, use normal gas",deposit_asset,deposit_asset,0.31003055
stake 3277.616 LINK on lido (base) — use fast gas,stake_asset,stake_asset,0.044444025
withdraw 3483.9524 AAVE from lido on solana,withdraw_asset,stake_asset,0.14039516
harvest yield from curve on solana,claim_rewards,claim_rewards,0.20433226
lock 2.388027 BTC in rocket pool on avalanche,stake_asset,unstake_asset,0.1898731
unlock 0.630628 WBTC at balancer (solana) — ok with higher gas,unstake_asset,deposit_asset,0.2414595
claim staking rewards on pendle ethereum — this minute,claim_rewards,claim_rewards,0.2948919
draw 2003.1529 LINK from aave on optimism — ok with higher gas,borrow_asset,deposit_asset,0.24222101
unlock 3290.3395 ARB at curve (solana) — now,unstake_asset,stake_asset,0.09440559
pay back 0.0606 WETH to aave on avalanche,repay_asset,repay_asset,0.078999236
unstake 2101.4644 AAVE from curve on solana — today,unstake_asset,withdraw_asset,0.12956285
"top up compound with 12.4491 WETH on solana — this minute, use fast gas",deposit_asset,deposit_asset,0.19190183
top up uniswap with 1.844295 WBTC on solana,deposit_asset,swap_asset,0.024510592
top up curve with 48.2305 SOL on arbitrum,deposit_asset,swap_asset,0.039622426
put 11650 USDT into aave,deposit_asset,repay_asset,0.03376466
repay 4845.8086 AAVE on aave (polygon) — use normal gas,repay_asset,borrow_asset,0.1581515
repay 1.045258 WBTC on maker (arbitrum),repay_asset,repay_asset,0.10706702
repay 3898.7463 ARB on aave (base) — use fast gas,repay_asset,repay_asset,0.05042988
"close debt: repay 36.141 AVAX at compound base — today, use fast gas",repay_asset,borrow_asset,0.05430579
harvest yield from compound on solana — use fast gas,claim_rewards,claim_rewards,0.15177004
borrow 45.021 ETH from compound on arbitrum,borrow_asset,borrow_asset,0.056483507
convert 3330.1 OP into USDC via sushiswap on base,swap_asset,swap_asset,0.68739635
collect incentives at stargate (ethereum),claim_rewards,claim_rewards,0.69699705
open debt: 10.5308 ETH on maker solana,borrow_asset,repay_asset,0.156582
open debt: 6583 DAI on compound avalanche,borrow_asset,borrow_asset,0.058611155
"supply 1486.4032 OP to curve — immediately, high yield mode",deposit_asset,withdraw_asset,0.121833354
convert 7370 USDT into AVAX via balancer on solana with slippage 1% — today,swap_asset,repay_asset,0.09098354
delegate 666.2103 AAVE to pendle (optimism) — high yield mode,stake_asset,deposit_asset,0.031864733
move 37.7239 WETH into pendle on ethereum — now,deposit_asset,deposit_asset,0.054055035
harvest yield from lido on ethereum,claim_rewards,claim_rewards,0.29538772
cash out 1.522963 WBTC from curve (ethereum),withdraw_asset,swap_asset,0.31035122
delegate 4061.2327 ARB to rocket pool (ethereum),stake_asset,stake_asset,0.022433996
pay back 45.9754 MATIC to compound on polygon,repay_asset,borrow_asset,0.2541145
close debt: repay 3160.5157 ARB at maker avalanche,repay_asset,repay_asset,0.08174968
take a loan of 3441.9957 LINK via compound (avalanche) using WETH as collateral — minimize gas,borrow_asset,borrow_asset,0.09459078
trade 17.7589 ETH for USDT on sushiswap (polygon) — this minute,swap_asset,swap_asset,0.8194183
claim staking rewards on rocket pool avalanche — high yield mode,claim_rewards,claim_rewards,0.6406942
"restake 12934 USDT with yearn on ethereum — this minute, minimize gas",stake_asset,deposit_asset,0.35612908
lock 2.227598 WBTC in curve on optimism,stake_asset,unstake_asset,0.1030601
withdraw staked 21811 USDT from pendle optimism — minimize gas,unstake_asset,deposit_asset,0.29112598
cash out 4873.2465 AAVE from aave (ethereum) — right away,withdraw_asset,repay_asset,0.04528582
put 3594.8573 LINK into rocket pool — today,deposit_asset,unstake_asset,0.012066364
cash out 3188.0184 ARB from rocket pool (base) — asap,withdraw_asset,stake_asset,0.034986228
convert 751.3489 AAVE into ARB via curve on solana with slippage 0.2%,swap_asset,withdraw_asset,0.17190552
stake 4032.5537 LINK on pendle (avalanche) — minimize gas,stake_asset,stake_asset,0.03597489
repay 48.4726 ETH on maker (solana) — use normal gas,repay_asset,repay_asset,0.09170717
remove 10.49 SOL from aave — this minute,withdraw_asset,withdraw_asset,0.0047028363
collect incentives at balancer (avalanche) — today,claim_rewards,claim_rewards,0.4409268
harvest yield from stargate on polygon,claim_rewards,claim_rewards,0.4815625
harvest yield from stargate on polygon,claim_rewards,claim_rewards,0.4815625
delegate 2.421969 WBTC to yearn (ethereum),stake_asset,stake_asset,0.03272128
market swap 23119 DAI->SOL using uniswap on avalanche,swap_asset,swap_asset,0.7908312
pay back 1402.0334 OP to maker on base — now,repay_asset,repay_asset,0.030533046
unstake 1508.0058 ARB from curve on optimism,unstake_asset,unstake_asset,0.047395855
repay 29.9806 SOL on aave (ethereum),repay_asset,repay_asset,0.13992506
move 22197 USDC into aave on solana — high yield mode,deposit_asset,repay_asset,0.16646731
put 16003 USDT into curve,deposit_asset,withdraw_asset,0.082226336
"fund balancer with 4176.2055 LINK (optimism) — this minute, use normal gas",deposit_asset,deposit_asset,0.20837575
"draw 4298.1995 OP from maker on optimism using BTC as collateral — today, high yield mode",borrow_asset,deposit_asset,0.015911922
take a loan of 6846 DAI via compound (solana) using BTC as collateral,borrow_asset,borrow_asset,0.05812961
borrow 3208.2528 OP from maker on arbitrum using AVAX as collateral — asap,borrow_asset,repay_asset,0.073906004
swap 3785.2341 ARB to USDT on uniswap ethereum,swap_asset,swap_asset,0.54244965
repay 15.0279 ETH on compound (solana),repay_asset,repay_asset,0.045115054
delegate 35.5888 SOL to lido (ethereum) — right away,stake_asset,stake_asset,0.064056635
fund aave with 8.6106 MATIC (base),deposit_asset,borrow_asset,0.039615273
harvest yield from rocket pool on polygon — asap,claim_rewards,claim_rewards,0.4583051
swap 3.0998 SOL to AAVE on uniswap ethereum — this minute,swap_asset,swap_asset,0.5682606
reduce loan by 0.928795 WBTC on maker (avalanche),repay_asset,repay_asset,0.051212847
"top up aave with 17449 DAI on polygon — now, safe mode",deposit_asset,unstake_asset,0.04984376
move 1989.3057 OP into pendle on polygon — immediately,deposit_asset,stake_asset,0.04601577
swap 24319 USDT to SOL on uniswap arbitrum — right away,swap_asset,swap_asset,0.60194606
provide 23254 DAI on curve,deposit_asset,withdraw_asset,0.113895625
"repay 1.337917 WBTC on compound (polygon) — this minute, high yield mode",repay_asset,borrow_asset,0.22572649
provide 2422.6525 LINK on rocket pool,deposit_asset,unstake_asset,0.031452715
put 517.7427 LINK into compound — minimize gas,deposit_asset,deposit_asset,0.27347705
put 37.3634 WETH into aave — this minute,deposit_asset,deposit_asset,0.04100448
cash out 16194 USDC from lido (optimism),withdraw_asset,repay_asset,0.051087976
stake 13468 USDT on yearn (base) — safe mode,stake_asset,stake_asset,0.05724287
unlock 519.0981 LINK at lido (polygon) — right away,unstake_asset,stake_asset,0.004735768
lock 1.505253 WBTC in lido on solana — immediately,stake_asset,stake_asset,0.03957528
claim staking rewards on curve ethereum,claim_rewards,claim_rewards,0.6773264
"trade 2.342115 BTC for LINK on balancer (ethereum) — immediately, normal mode",swap_asset,swap_asset,0.49455586
open debt: 6.9501 MATIC on maker base — use fast gas,borrow_asset,borrow_asset,0.082435906
pay back 28.3296 SOL to maker on ethereum,repay_asset,repay_asset,0.06774044
"withdraw 19.8824 WETH from uniswap on arbitrum — right away, normal mode",withdraw_asset,swap_asset,0.0809069
undelegate 3649.3872 ARB on rocket pool (optimism) — asap,unstake_asset,unstake_asset,0.07832074
lock 22632 DAI in pendle on solana — this minute,stake_asset,stake_asset,0.0531165
reduce loan by 47.2754 ETH on compound (optimism) — asap,repay_asset,repay_asset,0.09390381
restake 28.4703 AVAX with balancer on optimism,stake_asset,repay_asset,0.21756455
withdraw staked 2.010858 BTC from lido ethereum,unstake_asset,unstake_asset,0.011869013
convert 24171 USDT into BTC via sushiswap on avalanche — right away,swap_asset,swap_asset,0.84316474
undelegate 2.381832 BTC on pendle (base) — use fast gas,unstake_asset,deposit_asset,0.15757412
provide 0.928158 BTC on balancer,deposit_asset,borrow_asset,0.039394855
"add liquidity: deposit 1.827178 WBTC to balancer (ethereum) — asap, safe mode",deposit_asset,deposit_asset,0.0863916
claim staking rewards on sushiswap avalanche,claim_rewards,claim_rewards,0.4328349
claim staking rewards on sushiswap avalanche,claim_rewards,claim_rewards,0.4328349
move 18895 DAI into balancer on avalanche,deposit_asset,swap_asset,0.39444354
"remove 2142.346 AAVE from compound — right away, use normal gas",withdraw_asset,deposit_asset,0.069502264
unlock 3265.1702 LINK at yearn (solana),unstake_asset,stake_asset,0.14700323
close debt: repay 35.5022 AVAX at aave base,repay_asset,repay_asset,0.08567238
"pay back 20.4117 MATIC to maker on optimism — right away, high yield mode",repay_asset,repay_asset,0.10882747
supply 24618 USDT to rocket pool — today,deposit_asset,deposit_asset,0.38628465
swap 1.652174 WBTC to BTC on uniswap polygon — high yield mode,swap_asset,swap_asset,0.697659
claim rewards on aave (arbitrum),claim_rewards,claim_rewards,0.474642
market swap 15344 DAI->SOL using uniswap on arbitrum,swap_asset,swap_asset,0.6284949
"deposit 1145.4407 LINK into yearn on avalanche — use fast gas, high yield mode",deposit_asset,unstake_asset,0.07583918
harvest yield from aave on arbitrum,claim_rewards,claim_rewards,0.37012762
harvest yield from aave on arbitrum,claim_rewards,claim_rewards,0.37012762
"withdraw staked 3757.0098 OP from balancer optimism — immediately, use normal gas",unstake_asset,deposit_asset,0.3738209
open debt: 21.9559 WETH on aave arbitrum using USDC as collateral,borrow_asset,borrow_asset,0.0010738373
unstake 28.9876 AVAX from yearn on arbitrum — high yield mode,unstake_asset,withdraw_asset,0.11582038
top up rocket pool with 20560 USDT on ethereum — use fast gas,deposit_asset,deposit_asset,0.39606482
delegate 2.5234 SOL to balancer (avalanche),stake_asset,claim_rewards,0.12265299
fund rocket pool with 1037 DAI (solana) — use normal gas,deposit_asset,deposit_asset,0.26451293
collect incentives at aave (optimism) — safe mode,claim_rewards,claim_rewards,0.19570756
swap 6615 USDT to LINK on curve base — today,swap_asset,swap_asset,0.37441504
collect incentives at aave (avalanche),claim_rewards,claim_rewards,0.37663865
collect incentives at aave (avalanche),claim_rewards,claim_rewards,0.37663865
unlock 2028.6087 LINK at pendle (arbitrum) — this minute,unstake_asset,stake_asset,0.061724424
remove 8232 USDC from aave — ok with higher gas,withdraw_asset,borrow_asset,0.030669868
lock 19.7694 ETH in balancer on base,stake_asset,withdraw_asset,0.036381483
"withdraw 4587.9686 OP from yearn on optimism — now, use fast gas",withdraw_asset,deposit_asset,0.43333787
draw 1.875039 WBTC from aave on optimism — immediately,borrow_asset,deposit_asset,0.021099769
unstake 0.471 WETH from rocket pool on base — use normal gas,unstake_asset,deposit_asset,0.23753852
fund aave with 10219 USDT (ethereum),deposit_asset,repay_asset,0.03632742
move 22.1172 MATIC into curve on polygon,deposit_asset,withdraw_asset,0.03267944
supply 48.2766 SOL to curve,deposit_asset,withdraw_asset,0.22817543
undelegate 1.325098 WBTC on rocket pool (ethereum) — now,unstake_asset,unstake_asset,0.16134381
reduce loan by 4502.7681 LINK on maker (optimism),repay_asset,repay_asset,0.16502121
"unstake 1.352754 BTC from pendle on arbitrum — this minute, use fast gas",unstake_asset,deposit_asset,0.18158129
cash out 1998.0255 ARB from yearn (ethereum) — today,withdraw_asset,borrow_asset,0.056779027
close debt: repay 13.7872 WETH at aave polygon — minimize gas,repay_asset,borrow_asset,0.09073734
harvest yield from yearn on solana — today,claim_rewards,claim_rewards,0.22459576
harvest yield from lido on polygon — high yield mode,claim_rewards,claim_rewards,0.29326966
reduce loan by 22.4741 AVAX on compound (optimism),repay_asset,repay_asset,0.12428206
