prompt,gold,pred,score,ok,reason,spans,tags
restake 39.238 MATIC with lido on avalanche — immediately,stake_asset,stake_asset,2.438884,True,,"[{'primitive': 'stake_asset', 'term': 'restake', 'score': 1.0, 't_center': 0.05555555555555555}, {'primitive': 'stake_asset', 'term': 'restake 39', 'score': 0.8119191155530077, 't_center': 0.1111111111111111}, {'primitive': 'stake_asset', 'term': 'restake 39 238', 'score': 0.6269651055335999, 't_center': 0.16666666666666666}]","{'accepts': ['stake_asset'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 2.4388842582702637, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 2.4388842582702637, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 9}}"
claim staking rewards on sushiswap arbitrum — use fast gas,claim_rewards,claim_rewards,2.899991,True,,"[{'primitive': 'claim_rewards', 'term': 'claim', 'score': 1.0000001192092896, 't_center': 0.05555555555555555}, {'primitive': 'claim_rewards', 'term': 'staking rewards', 'score': 0.9562922146146238, 't_center': 0.2222222222222222}, {'primitive': 'claim_rewards', 'term': 'staking rewards on', 'score': 0.9436988301636183, 't_center': 0.2777777777777778}]","{'accepts': ['claim_rewards', 'stake_asset', 'unstake_asset'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 1.9003357887268066, 'unstake_asset': 1.6793131828308105, 'claim_rewards': 2.899991035461426}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 1.9003359079360962, 'unstake_asset': 1.6793131828308105, 'claim_rewards': 2.899991035461426}, 'norm': {'n_tokens': 9}}"
reduce loan by 4808.8879 ARB on compound (solana) — this minute,repay_asset,borrow_asset,2.294164,True,,"[{'primitive': 'repay_asset', 'term': 'loan', 'score': 0.7471389770507812, 't_center': 0.13636363636363635}, {'primitive': 'repay_asset', 'term': 'reduce loan', 'score': 0.6992747008368194, 't_center': 0.09090909090909091}, {'primitive': 'repay_asset', 'term': 'loan by', 'score': 0.6528254747390747, 't_center': 0.18181818181818182}]","{'accepts': ['borrow_asset', 'repay_asset'], 'scores': {'deposit_asset': 0.5124937295913696, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 2.2941641807556152, 'repay_asset': 2.0992393493652344, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 0.5124937891960144, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 2.294163942337036, 'repay_asset': 2.0992391109466553, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 11}}"
remove 36.8239 SOL from aave,withdraw_asset,,0.0,False,abstain_or_wrong,"[{'primitive': 'withdraw_asset', 'term': 'from', 'score': 0.7077332735061646, 't_center': 0.75}, {'primitive': 'withdraw_asset', 'term': 'remove', 'score': 0.5500321388244629, 't_center': 0.08333333333333333}]","{'accepts': [], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 0.6612489223480225, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 0.898719072341919, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 6}}"
harvest yield from maker on ethereum,claim_rewards,claim_rewards,2.656562,True,,"[{'primitive': 'claim_rewards', 'term': 'harvest', 'score': 1.0000001192092896, 't_center': 0.08333333333333333}, {'primitive': 'claim_rewards', 'term': 'harvest yield', 'score': 0.8382283449172974, 't_center': 0.16666666666666666}, {'primitive': 'claim_rewards', 'term': 'harvest yield from', 'score': 0.8183337937792416, 't_center': 0.25}]","{'accepts': ['claim_rewards', 'withdraw_asset'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 1.587750792503357, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 2.656562328338623}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 1.6045799255371094, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 2.656562328338623}, 'norm': {'n_tokens': 6}}"
"collect incentives at compound (optimism) — use fast gas, normal mode",claim_rewards,claim_rewards,2.885194,True,,"[{'primitive': 'claim_rewards', 'term': 'collect incentives', 'score': 1.0, 't_center': 0.1}, {'primitive': 'claim_rewards', 'term': 'collect incentives at', 'score': 0.9656234383583069, 't_center': 0.15}, {'primitive': 'claim_rewards', 'term': 'incentives', 'score': 0.9195700883865356, 't_center': 0.15}]","{'accepts': ['claim_rewards'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 2.8851935863494873}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 2.885193347930908}, 'norm': {'n_tokens': 10}}"
lock 0.668373 WBTC in pendle on avalanche,stake_asset,stake_asset,2.389896,True,,"[{'primitive': 'stake_asset', 'term': 'lock', 'score': 1.0000001192092896, 't_center': 0.0625}, {'primitive': 'stake_asset', 'term': 'lock 0', 'score': 0.7957417964935303, 't_center': 0.125}, {'primitive': 'stake_asset', 'term': 'lock 0 668373 wbtc', 'score': 0.5941544771194458, 't_center': 0.25}]","{'accepts': ['stake_asset', 'unstake_asset'], 'scores': {'deposit_asset': 0.6783140897750854, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 2.3898963928222656, 'unstake_asset': 1.8850858211517334, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 0.6783140897750854, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 2.3898963928222656, 'unstake_asset': 1.885085940361023, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 8}}"
unstake 786.2037 AAVE from lido on arbitrum,unstake_asset,unstake_asset,2.268034,True,,"[{'primitive': 'unstake_asset', 'term': 'unstake', 'score': 1.0000001192092896, 't_center': 0.0625}, {'primitive': 'unstake_asset', 'term': 'unstake 786', 'score': 0.6706355017802418, 't_center': 0.125}, {'primitive': 'unstake_asset', 'term': 'unstake 786 2037', 'score': 0.5973987339376648, 't_center': 0.1875}]","{'accepts': ['unstake_asset'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 0.7077332735061646, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 2.2680344581604004, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 0.7077332139015198, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 2.2680344581604004, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 8}}"
"withdraw staked 0.667255 WBTC from pendle optimism — right away, use normal gas",unstake_asset,unstake_asset,2.675608,True,,"[{'primitive': 'unstake_asset', 'term': 'withdraw staked', 'score': 1.0, 't_center': 0.07692307692307693}, {'primitive': 'unstake_asset', 'term': 'withdraw staked 0', 'score': 0.9154676198959351, 't_center': 0.11538461538461539}, {'primitive': 'unstake_asset', 'term': 'withdraw staked 0 667255', 'score': 0.7601406574249268, 't_center': 0.15384615384615385}]","{'accepts': ['unstake_asset', 'stake_asset', 'withdraw_asset'], 'scores': {'deposit_asset': 0.511926531791687, 'withdraw_asset': 2.239773750305176, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 2.414471387863159, 'unstake_asset': 2.6756081581115723, 'claim_rewards': 0.0}, 'nulls': {'deposit_asset': 0.511926531791687, 'withdraw_asset': 2.246356725692749, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 2.4144716262817383, 'unstake_asset': 2.6756081581115723, 'claim_rewards': 0.0}, 'norm': {'n_tokens': 13}}"
"collect incentives at maker (solana) — asap, use normal gas, normal mode",claim_rewards,claim_rewards,2.885194,True,,"[{'primitive': 'claim_rewards', 'term': 'collect incentives', 'score': 1.0, 't_center': 0.09090909090909091}, {'primitive': 'claim_rewards', 'term': 'collect incentives at', 'score': 0.9656234383583069, 't_center': 0.13636363636363635}, {'primitive': 'claim_rewards', 'term': 'incentives', 'score': 0.9195700883865356, 't_center': 0.13636363636363635}]","{'accepts': ['claim_rewards'], 'scores': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 2.8851935863494873}, 'nulls': {'deposit_asset': 0.0, 'withdraw_asset': 0.0, 'swap_asset': 0.0, 'borrow_asset': 0.0, 'repay_asset': 0.0, 'stake_asset': 0.0, 'unstake_asset': 0.0, 'claim_rewards': 2.885193347930908}, 'norm': {'n_tokens': 11}}"
